@RELATION expat-generated-output
@ATTRIBUTE "sentence" STRING
@ATTRIBUTE "geosig" NUMERIC
@ATTRIBUTE "spatial" NUMERIC
@ATTRIBUTE "geospatial" NUMERIC
@ATTRIBUTE "abstracted" STRING
@ATTRIBUTE "sverb qual geoentity simple" NUMERIC
@ATTRIBUTE "sverb qual geoentity" NUMERIC
@ATTRIBUTE "sverb qual rel geoentity complex" NUMERIC
@ATTRIBUTE "sverb qual rel non-spatial-1" NUMERIC
@ATTRIBUTE "sverb qual rel non-spatial-2" NUMERIC
@ATTRIBUTE "sverb to dir" NUMERIC
@ATTRIBUTE "svs lcs rel geo-entity" NUMERIC
@ATTRIBUTE "svs lcs rel non-geo-entity" NUMERIC
@ATTRIBUTE "svs nn geonoun" NUMERIC
@ATTRIBUTE "svs geonoun" NUMERIC
@ATTRIBUTE "svs geonoun dir" NUMERIC
@ATTRIBUTE "svs noun noun" NUMERIC
@ATTRIBUTE "lcs" NUMERIC
@ATTRIBUTE "spatialverb" NUMERIC
@ATTRIBUTE "noun" NUMERIC
@ATTRIBUTE "dir" NUMERIC
@ATTRIBUTE "qtf" NUMERIC
@ATTRIBUTE "person" NUMERIC
@ATTRIBUTE "location" NUMERIC
@ATTRIBUTE "misc" NUMERIC
@ATTRIBUTE "org" NUMERIC
@ATTRIBUTE "gnn" NUMERIC
@DATA
"Many features of modern Indonesia seemed to flow together in East Timor.",1,0,0,"NOUN of modern LOCATION seemed to flow together in LOCATION .",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0
"﻿Kyogre is the mascot for Pokémon Sapphire, and is located at the bottom of the Cave of Origin in Sootopolis City in that game.",1,1,1,"NOUN is NOUN for ORG , and SVB at LCS of GNN of NOUN in LOCATION in NOUN",0,0,1,0,0,0,1,0,1,2,0,0,1,1,4,0,0,0,1,0,1,1
"Once you arrive at the bottom, Kyogre will be resting at the center of the floor.",1,1,1,"Once you SVB at LCS , PERSON SVB at GNN of GNN",0,0,2,0,0,0,0,0,1,2,0,0,1,2,0,0,0,1,0,0,0,2
"When you speak with him, the scientist will inform that it is raining heavily on a certain route.",1,1,1,"When you speak with him , the scientist will inform that it is raining heavily on GNN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Luckily, Hydro Pump only has 5 PP, so Kyogre won't get too many chances to KO your Pokémon with it.",0,0,0,"Luckily , ORG only has QTF ORG , so PERSON wo n't get too NOUN to KO NOUN with it .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0
"Fire Blast is the main issue, as the eternal sunlight from Drought will give its damage output a 50% boost, causing serious damage to your Pokémon.",0,0,0,"Fire NOUN is NOUN as NOUN from NOUN will give NOUN a 50 NOUN causing NOUN to PERSON .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0
"In Ruby and Sapphire, you must take two steps to the right from where the Braille inscription is written, then two steps down and use Strength.",1,1,1,"In PERSON and ORG , you must take QTF GNN to NOUN from where NOUN is written , then QTF GNN down and use NOUN .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,1,2
"Curse is the main problem when facing Regirock.",0,0,0,"NOUN is NOUN when SVB NOUN .",0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
"In Emerald, your character must perform one clockwise lap around the cave and arrive back in front of the Braille inscription.",1,1,1,"In NOUN , NOUN must perform QTF NOUN around GNN back in LCS of NOUN .",0,0,0,0,0,0,0,1,1,1,0,0,1,0,4,0,1,0,0,0,0,1
"On Route 120 lies the Ancient Tomb, and inside rests the iron golem Registeel.",1,1,1,"On GNN QTF SVB GNN inside SVB NOUN .",1,1,1,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,2
